	HB.var_c
0	2.20000000000000018E0
1	3.30000000000000027E0
2	4.40000000000000036E0
3	5.50000000000000000E0
4	6.59999999999999964E0
5	7.69999999999999929E0
6	8.79999999999999893E0
7	9.89999999999999858E0
8	1.09999999999999987E1
9	1.20999999999999974E1
10	1.31999999999999984E1
11	1.42999999999999972E1
12	1.53999999999999959E1
13	1.64999999999999969E1
14	1.75999999999999979E1
15	1.86999999999999988E1
16	1.97999999999999998E1
17	2.09000000000000030E1
18	2.20000000000000018E1
19	2.31000000000000050E1
20	2.42000000000000082E1
21	2.53000000000000069E1
22	2.64000000000000101E1
23	2.75000000000000089E1
24	2.86000000000000121E1
25	2.97000000000000153E1
26	3.08000000000000140E1
27	3.19000000000000172E1
28	3.30000000000000160E1
29	3.41000000000000147E1
30	3.52000000000000179E1
31	3.63000000000000167E1
32	3.74000000000000199E1
33	3.85000000000000231E1
34	3.96000000000000218E1
35	4.07000000000000206E1
36	4.18000000000000238E1
37	4.29000000000000270E1
38	4.40000000000000302E1
39	4.43999999999999950E1


var_c	harmindex	freq[0, ::]
2.53000000000000069E1	3	7.37464138598105201E9
2.53000000000000069E1	4	9.83285518130806580E9
2.53000000000000069E1	5	1.22910689766350822E10
2.53000000000000069E1	6	1.47492827719621045E10
2.53000000000000069E1	7	1.72074965672891200E10
2.53000000000000069E1	8	1.96657103626161311E10
2.53000000000000069E1	9	2.21239241579431578E10
2.53000000000000069E1	10	2.45821379532701645E10

var_c	harmindex	freq[22, ::]
2.64000000000000101E1	0	0.00000000000000000E0
2.64000000000000101E1	1	2.45795991767325361E9
2.64000000000000101E1	2	4.91591983534650723E9
2.64000000000000101E1	3	7.37387975301975995E9
2.64000000000000101E1	4	9.83183967069301445E9
2.64000000000000101E1	5	1.22897995883662681E10
2.64000000000000101E1	6	1.47477595060395195E10
2.64000000000000101E1	7	1.72057194237127709E10
2.64000000000000101E1	8	1.96636793413860289E10
2.64000000000000101E1	9	2.21216392590592781E10
2.64000000000000101E1	10	2.45795991767325361E10

var_c	harmindex	freq[23, ::]
2.75000000000000089E1	0	0.00000000000000000E0
2.75000000000000089E1	1	2.45772618584208313E9
2.75000000000000089E1	2	4.91545237168416627E9
2.75000000000000089E1	3	7.37317855752624762E9
2.75000000000000089E1	4	9.83090474336833253E9
2.75000000000000089E1	5	1.22886309292104068E10
2.75000000000000089E1	6	1.47463571150524952E10
2.75000000000000089E1	7	1.72040833008945815E10
2.75000000000000089E1	8	1.96618094867366655E10
2.75000000000000089E1	9	2.21195356725787473E10
2.75000000000000089E1	10	2.45772618584208136E10

var_c	harmindex	freq[24, ::]
2.86000000000000121E1	0	0.00000000000000000E0
2.86000000000000121E1	1	2.45751029199459747E9
2.86000000000000121E1	2	4.91502058398919495E9
2.86000000000000121E1	3	7.37253087598379153E9
2.86000000000000121E1	4	9.83004116797838989E9
2.86000000000000121E1	5	1.22875514599729874E10
2.86000000000000121E1	6	1.47450617519675831E10
2.86000000000000121E1	7	1.72025720439621810E10
2.86000000000000121E1	8	1.96600823359567789E10
2.86000000000000121E1	9	2.21175926279513746E10
2.86000000000000121E1	10	2.45751029199459747E10

var_c	harmindex	freq[25, ::]
2.97000000000000153E1	0	0.00000000000000000E0
2.97000000000000153E1	1	2.45731026988014145E9
2.97000000000000153E1	2	4.91462053976028290E9
2.97000000000000153E1	3	7.37193080964042213E9
2.97000000000000153E1	4	9.82924107952056580E9
2.97000000000000153E1	5	1.22865513494007073E10
2.97000000000000153E1	6	1.47438616192808447E10
2.97000000000000153E1	7	1.72011718891609844E10
2.97000000000000153E1	8	1.96584821590411307E10
2.97000000000000153E1	9	2.21157924289212726E10
2.97000000000000153E1	10	2.45731026988014145E10

var_c	harmindex	freq[26, ::]
3.08000000000000140E1	0	0.00000000000000000E0
3.08000000000000140E1	1	2.45712443130799407E9
3.08000000000000140E1	2	4.91424886261598814E9
3.08000000000000140E1	3	7.37137329392398311E9
3.08000000000000140E1	4	9.82849772523197629E9
3.08000000000000140E1	5	1.22856221565399704E10
3.08000000000000140E1	6	1.47427465878479658E10
3.08000000000000140E1	7	1.71998710191559567E10
3.08000000000000140E1	8	1.96569954504639521E10
3.08000000000000140E1	9	2.21141198817719387E10
3.08000000000000140E1	10	2.45712443130799407E10

var_c	harmindex	freq[27, ::]
3.19000000000000172E1	0	0.00000000000000000E0
3.19000000000000172E1	1	2.45695131930772082E9
3.19000000000000172E1	2	4.91390263861544163E9
3.19000000000000172E1	3	7.37085395792316422E9
3.19000000000000172E1	4	9.82780527723088326E9
3.19000000000000172E1	5	1.22847565965386041E10
3.19000000000000172E1	6	1.47417079158463293E10
3.19000000000000172E1	7	1.71986592351540435E10
3.19000000000000172E1	8	1.96556105544617665E10
3.19000000000000172E1	9	2.21125618737694918E10
3.19000000000000172E1	10	2.45695131930772082E10

var_c	harmindex	freq[28, ::]
3.30000000000000160E1	0	0.00000000000000000E0
3.30000000000000160E1	1	2.45678966985407676E9
3.30000000000000160E1	2	4.91357933970815353E9
3.30000000000000160E1	3	7.37036900956223029E9
3.30000000000000160E1	4	9.82715867941630705E9
3.30000000000000160E1	5	1.22839483492703883E10
3.30000000000000160E1	6	1.47407380191244597E10
3.30000000000000160E1	7	1.71975276889785467E10
3.30000000000000160E1	8	1.96543173588326137E10
3.30000000000000160E1	9	2.21111070286866918E10
3.30000000000000160E1	10	2.45678966985407765E10

var_c	harmindex	freq[29, ::]
3.41000000000000147E1	0	0.00000000000000000E0
3.41000000000000147E1	1	2.45663838095083076E9
3.41000000000000147E1	2	4.91327676190166152E9
3.41000000000000147E1	3	7.36991514285249405E9
3.41000000000000147E1	4	9.82655352380332303E9
3.41000000000000147E1	5	1.22831919047541538E10
3.41000000000000147E1	6	1.47398302857049890E10
3.41000000000000147E1	7	1.71964686666558175E10
3.41000000000000147E1	8	1.96531070476066461E10
3.41000000000000147E1	9	2.21097454285574813E10
3.41000000000000147E1	10	2.45663838095083076E10

var_c	harmindex	freq[30, ::]
3.52000000000000179E1	0	0.00000000000000000E0
3.52000000000000179E1	1	2.45649648747490579E9
3.52000000000000179E1	2	4.91299297494981158E9
3.52000000000000179E1	3	7.36948946242471514E9
3.52000000000000179E1	4	9.82598594989962315E9
3.52000000000000179E1	5	1.22824824373745289E10
3.52000000000000179E1	6	1.47389789248494307E10
3.52000000000000179E1	7	1.71954754123243392E10
3.52000000000000179E1	8	1.96519718997992454E10
3.52000000000000179E1	9	2.21084683872741561E10
3.52000000000000179E1	10	2.45649648747490579E10

var_c	harmindex	freq[31, ::]
3.63000000000000167E1	0	0.00000000000000000E0
3.63000000000000167E1	1	2.45636314056604377E9
3.63000000000000167E1	2	4.91272628113208754E9
3.63000000000000167E1	3	7.36908942169813219E9
3.63000000000000167E1	4	9.82545256226417507E9
3.63000000000000167E1	5	1.22818157028302188E10
3.63000000000000167E1	6	1.47381788433962635E10
3.63000000000000167E1	7	1.71945419839623059E10
3.63000000000000167E1	8	1.96509051245283506E10
3.63000000000000167E1	9	2.21072682650943930E10
3.63000000000000167E1	10	2.45636314056604377E10

var_c	harmindex	freq[32, ::]
3.74000000000000199E1	0	0.00000000000000000E0
3.74000000000000199E1	1	2.45623759063159053E9
3.74000000000000199E1	2	4.91247518126318106E9
3.74000000000000199E1	3	7.36871277189477247E9
3.74000000000000199E1	4	9.82495036252636211E9
3.74000000000000199E1	5	1.22811879531579504E10
3.74000000000000199E1	6	1.47374255437895441E10
3.74000000000000199E1	7	1.71936631344211355E10
3.74000000000000199E1	8	1.96499007250527247E10
3.74000000000000199E1	9	2.21061383156843139E10
3.74000000000000199E1	10	2.45623759063159008E10

var_c	harmindex	freq[33, ::]
3.85000000000000231E1	0	0.00000000000000000E0
3.85000000000000231E1	1	2.45611917324815199E9
3.85000000000000231E1	2	4.91223834649630398E9
3.85000000000000231E1	3	7.36835751974445685E9
3.85000000000000231E1	4	9.82447669299260795E9
3.85000000000000231E1	5	1.22805958662407599E10
3.85000000000000231E1	6	1.47367150394889146E10
3.85000000000000231E1	7	1.71928342127370604E10
3.85000000000000231E1	8	1.96489533859852150E10
3.85000000000000231E1	9	2.21050725592333697E10
3.85000000000000231E1	10	2.45611917324815199E10

var_c	harmindex	freq[34, ::]
3.96000000000000218E1	0	0.00000000000000000E0
3.96000000000000218E1	1	2.45600729739929102E9
3.96000000000000218E1	2	4.91201459479858205E9
3.96000000000000218E1	3	7.36802189219787174E9
3.96000000000000218E1	4	9.82402918959716409E9
3.96000000000000218E1	5	1.22800364869964551E10
3.96000000000000218E1	6	1.47360437843957426E10
3.96000000000000218E1	7	1.71920510817950367E10
3.96000000000000218E1	8	1.96480583791943286E10
3.96000000000000218E1	9	2.21040656765936250E10
3.96000000000000218E1	10	2.45600729739929102E10

var_c	harmindex	freq[35, ::]
