	HB.var_c
0	2.20000000000000018E0
1	2.30000000000000027E0
2	2.40000000000000036E0
3	2.50000000000000044E0
4	2.60000000000000053E0
5	2.70000000000000062E0
6	2.80000000000000071E0
7	2.90000000000000080E0
8	3.00000000000000089E0
9	3.10000000000000098E0
10	3.20000000000000107E0
11	3.30000000000000115E0
12	3.40000000000000124E0
13	3.50000000000000133E0
14	3.60000000000000142E0
15	3.70000000000000151E0
16	3.80000000000000160E0
17	3.90000000000000169E0
18	4.00000000000000178E0
19	4.10000000000000142E0
20	4.20000000000000107E0
21	4.30000000000000071E0
22	4.40000000000000036E0
23	4.50000000000000000E0
24	4.59999999999999964E0
25	4.69999999999999929E0
26	4.79999999999999893E0
27	4.89999999999999858E0
28	4.99999999999999822E0
29	5.09999999999999787E0
30	5.19999999999999751E0
31	5.29999999999999716E0
32	5.39999999999999680E0
33	5.50000000000000000E0


var_c	harmindex	freq[0, ::]
3.10000000000000098E0	4	1.01614137016448125E10
3.10000000000000098E0	5	1.27017671270560162E10
3.10000000000000098E0	6	1.52421205524672221E10
3.10000000000000098E0	7	1.77824739778784213E10
3.10000000000000098E0	8	2.03228274032896250E10
3.10000000000000098E0	9	2.28631808287008287E10
3.10000000000000098E0	10	2.54035342541120324E10

var_c	harmindex	freq[10, ::]
3.20000000000000107E0	0	0.00000000000000000E0
3.20000000000000107E0	1	2.53793866004859536E9
3.20000000000000107E0	2	5.07587732009719073E9
3.20000000000000107E0	3	7.61381598014578564E9
3.20000000000000107E0	4	1.01517546401943815E10
3.20000000000000107E0	5	1.26896933002429768E10
3.20000000000000107E0	6	1.52276319602915722E10
3.20000000000000107E0	7	1.77655706203401742E10
3.20000000000000107E0	8	2.03035092803887629E10
3.20000000000000107E0	9	2.28414479404373649E10
3.20000000000000107E0	10	2.53793866004859536E10

var_c	harmindex	freq[11, ::]
3.30000000000000115E0	0	0.00000000000000000E0
3.30000000000000115E0	1	2.53565241652231954E9
3.30000000000000115E0	2	5.07130483304463908E9
3.30000000000000115E0	3	7.60695724956695596E9
3.30000000000000115E0	4	1.01426096660892773E10
3.30000000000000115E0	5	1.26782620826115977E10
3.30000000000000115E0	6	1.52139144991339115E10
3.30000000000000115E0	7	1.77495669156562386E10
3.30000000000000115E0	8	2.02852193321785546E10
3.30000000000000115E0	9	2.28208717487008750E10
3.30000000000000115E0	10	2.53565241652231954E10

var_c	harmindex	freq[12, ::]
3.40000000000000124E0	0	0.00000000000000000E0
3.40000000000000124E0	1	2.53348469246620578E9
3.40000000000000124E0	2	5.06696938493241156E9
3.40000000000000124E0	3	7.60045407739861822E9
3.40000000000000124E0	4	1.01339387698648231E10
3.40000000000000124E0	5	1.26674234623310245E10
3.40000000000000124E0	6	1.52009081547972369E10
3.40000000000000124E0	7	1.77343928472634360E10
3.40000000000000124E0	8	2.02678775397296462E10
3.40000000000000124E0	9	2.28013622321958476E10
3.40000000000000124E0	10	2.53348469246620489E10

var_c	harmindex	freq[13, ::]
3.50000000000000133E0	0	0.00000000000000000E0
3.50000000000000133E0	1	2.53142650806116709E9
3.50000000000000133E0	2	5.06285301612233418E9
3.50000000000000133E0	3	7.59427952418350038E9
3.50000000000000133E0	4	1.01257060322446679E10
3.50000000000000133E0	5	1.26571325403058355E10
3.50000000000000133E0	6	1.51885590483670008E10
3.50000000000000133E0	7	1.77199855564281639E10
3.50000000000000133E0	8	2.02514120644893358E10
3.50000000000000133E0	9	2.27828385725505012E10
3.50000000000000133E0	10	2.53142650806116709E10

var_c	harmindex	freq[14, ::]
3.60000000000000142E0	0	0.00000000000000000E0
3.60000000000000142E0	1	2.52946976805345969E9
3.60000000000000142E0	2	5.05893953610691938E9
3.60000000000000142E0	3	7.58840930416037729E9
3.60000000000000142E0	4	1.01178790722138379E10
3.60000000000000142E0	5	1.26473488402672984E10
3.60000000000000142E0	6	1.51768186083207546E10
3.60000000000000142E0	7	1.77062883763742218E10
3.60000000000000142E0	8	2.02357581444276757E10
3.60000000000000142E0	9	2.27652279124811407E10
3.60000000000000142E0	10	2.52946976805345969E10

var_c	harmindex	freq[15, ::]
3.70000000000000151E0	0	0.00000000000000000E0
3.70000000000000151E0	1	2.52760715548744264E9
3.70000000000000151E0	2	5.05521431097488527E9
3.70000000000000151E0	3	7.58282146646232924E9
3.70000000000000151E0	4	1.01104286219497697E10
3.70000000000000151E0	5	1.26380357774372132E10
3.70000000000000151E0	6	1.51656429329246589E10
3.70000000000000151E0	7	1.76932500884121002E10
3.70000000000000151E0	8	2.02208572438995393E10
3.70000000000000151E0	9	2.27484643993869895E10
3.70000000000000151E0	10	2.52760715548744264E10

var_c	harmindex	freq[16, ::]
3.80000000000000160E0	0	0.00000000000000000E0
3.80000000000000160E0	1	2.52583204046529897E9
3.80000000000000160E0	2	5.05166408093059793E9
3.80000000000000160E0	3	7.57749612139589868E9
3.80000000000000160E0	4	1.01033281618611959E10
3.80000000000000160E0	5	1.26291602023264948E10
3.80000000000000160E0	6	1.51549922427917982E10
3.80000000000000160E0	7	1.76808242832570994E10
3.80000000000000160E0	8	2.02066563237223917E10
3.80000000000000160E0	9	2.27324883641876951E10
3.80000000000000160E0	10	2.52583204046529897E10

