	HB.var_c
195	2.17000000000000393E1
196	2.18000000000000416E1
197	2.19000000000000394E1
198	2.20000000000000417E1
199	2.21000000000000441E1
200	2.21999999999999975E1


var_c	harmindex	freq[0, ::]
2.20000000000000018E0	0	0.00000000000000000E0
2.20000000000000018E0	1	2.51671627163056710E9
2.20000000000000018E0	2	5.03343254326113421E9
2.20000000000000018E0	3	7.55014881489170087E9
2.20000000000000018E0	4	1.00668650865222675E10
2.20000000000000018E0	5	1.25835813581528355E10
2.20000000000000018E0	6	1.51002976297834013E10
2.20000000000000018E0	7	1.76170139014139693E10
2.20000000000000018E0	8	2.01337301730445351E10
2.20000000000000018E0	9	2.26504464446751097E10
2.20000000000000018E0	10	2.51671627163056710E10

var_c	harmindex	freq[1, ::]
2.30000000000000027E0	0	0.00000000000000000E0
2.30000000000000027E0	1	2.51415837846639700E9
2.30000000000000027E0	2	5.02831675693279401E9
2.30000000000000027E0	3	7.54247513539919190E9
2.30000000000000027E0	4	1.00566335138655871E10
2.30000000000000027E0	5	1.25707918923319850E10
2.30000000000000027E0	6	1.50849502707983829E10
2.30000000000000027E0	7	1.75991086492647808E10
2.30000000000000027E0	8	2.01132670277311743E10
2.30000000000000027E0	9	2.26274254061975810E10
2.30000000000000027E0	10	2.51415837846639700E10

var_c	harmindex	freq[2, ::]
2.40000000000000036E0	0	0.00000000000000000E0
2.40000000000000036E0	1	2.51179513411275579E9
2.40000000000000036E0	2	5.02359026822551158E9
2.40000000000000036E0	3	7.53538540233826826E9
2.40000000000000036E0	4	1.00471805364510236E10
2.40000000000000036E0	5	1.25589756705637789E10
2.40000000000000036E0	6	1.50707708046765365E10
2.40000000000000036E0	7	1.75825659387892896E10
2.40000000000000036E0	8	2.00943610729020472E10
2.40000000000000036E0	9	2.26061562070148003E10
2.40000000000000036E0	10	2.51179513411275579E10

var_c	harmindex	freq[3, ::]
2.50000000000000044E0	0	0.00000000000000000E0
2.50000000000000044E0	1	2.50960513472413016E9
2.50000000000000044E0	2	5.01921026944826032E9
2.50000000000000044E0	3	7.52881540417238870E9
2.50000000000000044E0	4	1.00384205388965198E10
2.50000000000000044E0	5	1.25480256736206508E10
2.50000000000000044E0	6	1.50576308083447774E10
2.50000000000000044E0	7	1.75672359430689129E10
2.50000000000000044E0	8	2.00768410777930395E10
2.50000000000000044E0	9	2.25864462125171794E10
2.50000000000000044E0	10	2.50960513472413016E10

var_c	harmindex	freq[4, ::]
2.60000000000000053E0	0	0.00000000000000000E0
2.60000000000000053E0	1	2.50757000852085810E9
2.60000000000000053E0	2	5.01514001704171619E9
2.60000000000000053E0	3	7.52271002556257606E9
2.60000000000000053E0	4	1.00302800340834319E10
2.60000000000000053E0	5	1.25378500426042905E10
2.60000000000000053E0	6	1.50454200511251512E10
2.60000000000000053E0	7	1.75529900596460076E10
2.60000000000000053E0	8	2.00605600681668639E10
2.60000000000000053E0	9	2.25681300766877291E10
2.60000000000000053E0	10	2.50757000852085810E10

var_c	harmindex	freq[5, ::]
2.70000000000000062E0	0	0.00000000000000000E0
2.70000000000000062E0	1	2.50567389210079217E9
2.70000000000000062E0	2	5.01134778420158433E9
2.70000000000000062E0	3	7.51702167630237739E9
2.70000000000000062E0	4	1.00226955684031682E10
2.70000000000000062E0	5	1.25283694605039608E10
2.70000000000000062E0	6	1.50340433526047557E10
2.70000000000000062E0	7	1.75397172447055527E10
2.70000000000000062E0	8	2.00453911368063364E10
2.70000000000000062E0	9	2.25510650289071313E10
2.70000000000000062E0	10	2.50567389210079217E10

var_c	harmindex	freq[6, ::]
2.80000000000000071E0	0	0.00000000000000000E0
2.80000000000000071E0	1	2.50390301655982039E9
2.80000000000000071E0	2	5.00780603311964079E9
2.80000000000000071E0	3	7.51170904967946296E9
2.80000000000000071E0	4	1.00156120662392811E10
2.80000000000000071E0	5	1.25195150827991020E10
