	HB.var_c
0	1.10000000000000009E0
1	2.10000000000000009E0
2	3.10000000000000009E0
3	4.09999999999999964E0
4	5.09999999999999964E0
5	6.09999999999999964E0
6	7.09999999999999964E0
7	8.09999999999999964E0
8	9.09999999999999964E0
9	1.01000000000000001E1
10	1.10999999999999988E1
11	1.20999999999999996E1
12	1.31000000000000005E1
13	1.40999999999999992E1
14	1.51000000000000001E1
15	1.61000000000000010E1
16	1.71000000000000019E1
17	1.81000000000000005E1
18	1.91000000000000014E1
19	2.01000000000000023E1
20	2.11000000000000032E1
21	2.20999999999999996E1
22	2.31000000000000005E1
23	2.41000000000000014E1
24	2.51000000000000023E1
25	2.61000000000000032E1
26	2.70999999999999996E1
27	2.81000000000000005E1
28	2.91000000000000014E1
29	3.01000000000000023E1
30	3.11000000000000032E1
31	3.20999999999999996E1
32	3.31000000000000005E1
33	3.41000000000000014E1
34	3.51000000000000023E1
35	3.61000000000000032E1
36	3.70999999999999996E1
37	3.81000000000000005E1
38	3.91000000000000014E1
39	4.00999999999999979E1
40	4.11000000000000032E1
41	4.20999999999999996E1
42	4.31000000000000050E1
43	4.41000000000000014E1
44	4.43999999999999950E1


var_c	harmindex	freq[0, ::]
7.09999999999999964E0	5	1.24548151554105768E10
7.09999999999999964E0	6	1.49457781864926931E10
7.09999999999999964E0	7	1.74367412175748049E10
7.09999999999999964E0	8	1.99277042486569189E10
7.09999999999999964E0	9	2.24186672797390329E10
7.09999999999999964E0	10	2.49096303108211536E10

var_c	harmindex	freq[7, ::]
8.09999999999999964E0	0	0.00000000000000000E0
8.09999999999999964E0	1	2.48612048800244434E9
8.09999999999999964E0	2	4.97224097600488868E9
8.09999999999999964E0	3	7.45836146400733213E9
8.09999999999999964E0	4	9.94448195200977736E9
8.09999999999999964E0	5	1.24306024400122217E10
8.09999999999999964E0	6	1.49167229280146652E10
8.09999999999999964E0	7	1.74028434160171130E10
8.09999999999999964E0	8	1.98889639040195543E10
8.09999999999999964E0	9	2.23750843920219999E10
8.09999999999999964E0	10	2.48612048800244434E10

var_c	harmindex	freq[8, ::]
9.09999999999999964E0	0	0.00000000000000000E0
9.09999999999999964E0	1	2.48229132461971380E9
9.09999999999999964E0	2	4.96458264923942760E9
9.09999999999999964E0	3	7.44687397385914096E9
9.09999999999999964E0	4	9.92916529847885521E9
9.09999999999999964E0	5	1.24114566230985690E10
9.09999999999999964E0	6	1.48937479477182810E10
9.09999999999999964E0	7	1.73760392723379975E10
9.09999999999999964E0	8	1.98583305969577095E10
9.09999999999999964E0	9	2.23406219215774282E10
9.09999999999999964E0	10	2.48229132461971380E10

var_c	harmindex	freq[9, ::]
1.01000000000000001E1	0	0.00000000000000000E0
1.01000000000000001E1	1	2.47918759966015845E9
1.01000000000000001E1	2	4.95837519932031690E9
1.01000000000000001E1	3	7.43756279898047534E9
1.01000000000000001E1	4	9.91675039864063379E9
1.01000000000000001E1	5	1.23959379983007922E10
1.01000000000000001E1	6	1.48751255979609498E10
1.01000000000000001E1	7	1.73543131976211029E10
1.01000000000000001E1	8	1.98335007972812671E10
1.01000000000000001E1	9	2.23126883969414225E10
1.01000000000000001E1	10	2.47918759966015845E10

var_c	harmindex	freq[10, ::]
1.10999999999999988E1	0	0.00000000000000000E0
1.10999999999999988E1	1	2.47662100421189768E9
1.10999999999999988E1	2	4.95324200842379536E9
1.10999999999999988E1	3	7.42986301263569260E9
1.10999999999999988E1	4	9.90648401684759072E9
1.10999999999999988E1	5	1.23831050210594884E10
1.10999999999999988E1	6	1.48597260252713848E10
1.10999999999999988E1	7	1.73363470294832878E10
1.10999999999999988E1	8	1.98129680336951819E10
1.10999999999999988E1	9	2.22895890379070849E10
1.10999999999999988E1	10	2.47662100421189768E10

var_c	harmindex	freq[11, ::]
1.20999999999999996E1	0	0.00000000000000000E0
1.20999999999999996E1	1	2.47446322618663173E9
1.20999999999999996E1	2	4.94892645237326345E9
1.20999999999999996E1	3	7.42338967855989740E9
1.20999999999999996E1	4	9.89785290474652690E9
1.20999999999999996E1	5	1.23723161309331564E10
1.20999999999999996E1	6	1.48467793571197948E10
1.20999999999999996E1	7	1.73212425833064243E10
1.20999999999999996E1	8	1.97957058094930538E10
1.20999999999999996E1	9	2.22701690356796833E10
1.20999999999999996E1	10	2.47446322618663128E10

var_c	harmindex	freq[12, ::]
1.31000000000000005E1	0	0.00000000000000000E0
1.31000000000000005E1	1	2.47262379945303268E9
1.31000000000000005E1	2	4.94524759890606536E9
1.31000000000000005E1	3	7.41787139835909937E9
1.31000000000000005E1	4	9.89049519781213071E9
1.31000000000000005E1	5	1.23631189972651634E10
1.31000000000000005E1	6	1.48357427967181987E10
1.31000000000000005E1	7	1.73083665961712319E10
1.31000000000000005E1	8	1.97809903956242605E10
1.31000000000000005E1	9	2.22536141950772937E10
1.31000000000000005E1	10	2.47262379945303268E10

var_c	harmindex	freq[13, ::]
1.40999999999999992E1	0	0.00000000000000000E0
1.40999999999999992E1	1	2.47103711086391309E9
1.40999999999999992E1	2	4.94207422172782618E9
1.40999999999999992E1	3	7.41311133259173705E9
1.40999999999999992E1	4	9.88414844345565236E9
1.40999999999999992E1	5	1.23551855543195654E10
1.40999999999999992E1	6	1.48262226651834750E10
1.40999999999999992E1	7	1.72972597760473912E10
1.40999999999999992E1	8	1.97682968869113052E10
1.40999999999999992E1	9	2.22393339977752102E10
1.40999999999999992E1	10	2.47103711086391309E10

var_c	harmindex	freq[14, ::]
1.51000000000000001E1	0	0.00000000000000000E0
1.51000000000000001E1	1	2.46965443043607724E9
1.51000000000000001E1	2	4.93930886087215448E9
1.51000000000000001E1	3	7.40896329130823439E9
1.51000000000000001E1	4	9.87861772174430897E9
1.51000000000000001E1	5	1.23482721521803862E10
1.51000000000000001E1	6	1.48179265826164697E10
1.51000000000000001E1	7	1.72875810130525420E10
1.51000000000000001E1	8	1.97572354434886188E10
1.51000000000000001E1	9	2.22268898739246978E10
1.51000000000000001E1	10	2.46965443043607724E10

var_c	harmindex	freq[15, ::]
1.61000000000000010E1	0	0.00000000000000000E0
1.61000000000000010E1	1	2.46843878636854663E9
1.61000000000000010E1	2	4.93687757273709327E9
1.61000000000000010E1	3	7.40531635910564034E9
1.61000000000000010E1	4	9.87375514547418653E9
1.61000000000000010E1	5	1.23421939318427332E10
1.61000000000000010E1	6	1.48106327182112807E10
1.61000000000000010E1	7	1.72790715045798260E10
1.61000000000000010E1	8	1.97475102909483735E10
1.61000000000000010E1	9	2.22159490773169166E10
1.61000000000000010E1	10	2.46843878636854663E10

var_c	harmindex	freq[16, ::]
1.71000000000000019E1	0	0.00000000000000000E0
1.71000000000000019E1	1	2.46736163557754873E9
1.71000000000000019E1	2	4.93472327115509746E9
1.71000000000000019E1	3	7.40208490673264485E9
1.71000000000000019E1	4	9.86944654231019491E9
1.71000000000000019E1	5	1.23368081778877459E10
1.71000000000000019E1	6	1.48041698134652888E10
1.71000000000000019E1	7	1.72715314490428362E10
1.71000000000000019E1	8	1.97388930846203903E10
1.71000000000000019E1	9	2.22062547201979399E10
1.71000000000000019E1	10	2.46736163557754917E10

var_c	harmindex	freq[17, ::]
1.81000000000000005E1	0	0.00000000000000000E0
1.81000000000000005E1	1	2.46640058749317825E9
1.81000000000000005E1	2	4.93280117498635651E9
1.81000000000000005E1	3	7.39920176247953076E9
1.81000000000000005E1	4	9.86560234997271301E9
1.81000000000000005E1	5	1.23320029374658913E10
1.81000000000000005E1	6	1.47984035249590606E10
1.81000000000000005E1	7	1.72648041124522456E10
1.81000000000000005E1	8	1.97312046999454260E10
1.81000000000000005E1	9	2.21976052874385976E10
1.81000000000000005E1	10	2.46640058749317825E10

var_c	harmindex	freq[18, ::]
1.91000000000000014E1	0	0.00000000000000000E0
1.91000000000000014E1	1	2.46553783115664205E9
1.91000000000000014E1	2	4.93107566231328409E9
1.91000000000000014E1	3	7.39661349346992392E9
1.91000000000000014E1	4	9.86215132462656818E9
1.91000000000000014E1	5	1.23276891557832102E10
1.91000000000000014E1	6	1.47932269869398469E10
1.91000000000000014E1	7	1.72587648180964903E10
1.91000000000000014E1	8	1.97243026492531359E10
1.91000000000000014E1	9	2.21898404804097771E10
1.91000000000000014E1	10	2.46553783115664205E10

var_c	harmindex	freq[19, ::]
2.01000000000000023E1	0	0.00000000000000000E0
2.01000000000000023E1	1	2.46475902136489466E9
2.01000000000000023E1	2	4.92951804272978933E9
2.01000000000000023E1	3	7.39427706409468311E9
2.01000000000000023E1	4	9.85903608545957866E9
2.01000000000000023E1	5	1.23237951068244733E10
2.01000000000000023E1	6	1.47885541281893662E10
2.01000000000000023E1	7	1.72533131495542591E10
2.01000000000000023E1	8	1.97180721709191564E10
2.01000000000000023E1	9	2.21828311922840449E10
2.01000000000000023E1	10	2.46475902136489466E10

var_c	harmindex	freq[20, ::]
2.11000000000000032E1	0	0.00000000000000000E0
2.11000000000000032E1	1	2.46405247481890299E9
2.11000000000000032E1	2	4.92810494963780599E9
2.11000000000000032E1	3	7.39215742445671076E9
2.11000000000000032E1	4	9.85620989927561197E9
2.11000000000000032E1	5	1.23202623740945194E10
2.11000000000000032E1	6	1.47843148489134224E10
2.11000000000000032E1	7	1.72483673237323210E10
2.11000000000000032E1	8	1.97124197985512239E10
2.11000000000000032E1	9	2.21764722733701269E10
2.11000000000000032E1	10	2.46405247481890388E10

var_c	harmindex	freq[21, ::]
2.20999999999999996E1	0	0.00000000000000000E0
2.20999999999999996E1	1	2.46340858008231667E9
2.20999999999999996E1	2	4.92681716016463334E9
2.20999999999999996E1	3	7.39022574024695267E9
2.20999999999999996E1	4	9.85363432032926667E9
2.20999999999999996E1	5	1.23170429004115833E10
2.20999999999999996E1	6	1.47804514804939058E10
2.20999999999999996E1	7	1.72438600605762171E10
2.20999999999999996E1	8	1.97072686406585329E10
2.20999999999999996E1	9	2.21706772207408509E10
2.20999999999999996E1	10	2.46340858008231667E10

var_c	harmindex	freq[22, ::]
2.31000000000000005E1	0	0.00000000000000000E0
2.31000000000000005E1	1	2.46281935782098227E9
2.31000000000000005E1	2	4.92563871564196454E9
2.31000000000000005E1	3	7.38845807346294947E9
2.31000000000000005E1	4	9.85127743128392908E9
2.31000000000000005E1	5	1.23140967891049113E10
2.31000000000000005E1	6	1.47769161469258981E10
2.31000000000000005E1	7	1.72397355047468781E10
2.31000000000000005E1	8	1.97025548625678582E10
2.31000000000000005E1	9	2.21653742203888360E10
2.31000000000000005E1	10	2.46281935782098227E10

var_c	harmindex	freq[23, ::]
2.41000000000000014E1	0	0.00000000000000000E0
2.41000000000000014E1	1	2.46227812848752592E9
2.41000000000000014E1	2	4.92455625697505184E9
2.41000000000000014E1	3	7.38683438546257776E9
2.41000000000000014E1	4	9.84911251395010368E9
2.41000000000000014E1	5	1.23113906424376296E10
2.41000000000000014E1	6	1.47736687709251546E10
2.41000000000000014E1	7	1.72359468994126841E10
2.41000000000000014E1	8	1.96982250279002069E10
2.41000000000000014E1	9	2.21605031563877386E10
2.41000000000000014E1	10	2.46227812848752592E10

var_c	harmindex	freq[24, ::]
2.51000000000000023E1	0	0.00000000000000000E0
2.51000000000000023E1	1	2.46177925952738352E9
2.51000000000000023E1	2	4.92355851905476705E9
2.51000000000000023E1	3	7.38533777858214791E9
2.51000000000000023E1	4	9.84711703810953409E9
2.51000000000000023E1	5	1.23088962976369176E10
2.51000000000000023E1	6	1.47706755571642967E10
2.51000000000000023E1	7	1.72324548166916758E10
2.51000000000000023E1	8	1.96942340762190682E10
2.51000000000000023E1	9	2.21560133357464428E10
2.51000000000000023E1	10	2.46177925952738352E10

var_c	harmindex	freq[25, ::]
2.61000000000000032E1	0	0.00000000000000000E0
2.61000000000000032E1	1	2.46131796219511889E9
2.61000000000000032E1	2	4.92263592439023778E9
2.61000000000000032E1	3	7.38395388658535801E9
2.61000000000000032E1	4	9.84527184878047557E9
2.61000000000000032E1	5	1.23065898109755945E10
2.61000000000000032E1	6	1.47679077731707165E10
2.61000000000000032E1	7	1.72292257353658362E10
2.61000000000000032E1	8	1.96905436975609516E10
2.61000000000000032E1	9	2.21518616597560669E10
2.61000000000000032E1	10	2.46131796219511889E10

var_c	harmindex	freq[26, ::]
2.70999999999999996E1	0	0.00000000000000000E0
2.70999999999999996E1	1	2.46089014763985547E9
2.70999999999999996E1	2	4.92178029527971095E9
2.70999999999999996E1	3	7.38267044291956687E9
2.70999999999999996E1	4	9.84356059055942190E9
2.70999999999999996E1	5	1.23044507381992774E10
2.70999999999999996E1	6	1.47653408858391333E10
2.70999999999999996E1	7	1.72262310334789892E10
2.70999999999999996E1	8	1.96871211811188429E10
2.70999999999999996E1	9	2.21480113287587033E10
2.70999999999999996E1	10	2.46089014763985547E10

var_c	harmindex	freq[27, ::]
2.81000000000000005E1	0	0.00000000000000000E0
2.81000000000000005E1	1	2.46049229811304304E9
2.81000000000000005E1	2	4.92098459622608608E9
2.81000000000000005E1	3	7.38147689433913001E9
2.81000000000000005E1	4	9.84196919245217217E9
2.81000000000000005E1	5	1.23024614905652196E10
2.81000000000000005E1	6	1.47629537886782591E10
2.81000000000000005E1	7	1.72234460867913053E10
2.81000000000000005E1	8	1.96839383849043448E10
2.81000000000000005E1	9	2.21444306830173909E10
2.81000000000000005E1	10	2.46049229811304393E10

var_c	harmindex	freq[28, ::]
2.91000000000000014E1	0	0.00000000000000000E0
2.91000000000000014E1	1	2.46012137196012581E9
2.91000000000000014E1	2	4.92024274392025163E9
2.91000000000000014E1	3	7.38036411588037744E9
2.91000000000000014E1	4	9.84048548784050325E9
2.91000000000000014E1	5	1.23006068598006291E10
2.91000000000000014E1	6	1.47607282317607558E10
2.91000000000000014E1	7	1.72208496037208780E10
2.91000000000000014E1	8	1.96809709756810070E10
2.91000000000000014E1	9	2.21410923476411359E10
2.91000000000000014E1	10	2.46012137196012581E10

var_c	harmindex	freq[29, ::]
3.01000000000000023E1	0	0.00000000000000000E0
3.01000000000000023E1	1	2.45977472571390710E9
3.01000000000000023E1	2	4.91954945142781419E9
