	HB.var_c
0	1.10000000000000009E0
1	2.10000000000000009E0
2	3.10000000000000009E0
3	4.09999999999999964E0
4	5.09999999999999964E0
5	6.09999999999999964E0
6	7.09999999999999964E0
7	8.09999999999999964E0
8	9.09999999999999964E0
9	1.01000000000000001E1
10	1.10999999999999988E1
11	1.20999999999999996E1
12	1.31000000000000005E1
13	1.40999999999999992E1
14	1.51000000000000001E1
15	1.61000000000000010E1
16	1.71000000000000019E1
17	1.81000000000000005E1
18	1.91000000000000014E1
19	2.01000000000000023E1
20	2.11000000000000032E1
21	2.20999999999999996E1
22	2.31000000000000005E1
23	2.41000000000000014E1
24	2.51000000000000023E1
25	2.61000000000000032E1
26	2.70999999999999996E1
27	2.81000000000000005E1
28	2.91000000000000014E1
29	3.01000000000000023E1
30	3.11000000000000032E1
31	3.20999999999999996E1
32	3.31000000000000005E1
33	3.41000000000000014E1
34	3.51000000000000023E1
35	3.61000000000000032E1
36	3.70999999999999996E1
37	3.81000000000000005E1
38	3.91000000000000014E1
39	4.00999999999999979E1
40	4.11000000000000032E1
41	4.20999999999999996E1
42	4.31000000000000050E1
43	4.41000000000000014E1
44	4.43999999999999950E1


var_c	harmindex	freq[0, ::]
2.61000000000000032E1	0	0.00000000000000000E0
2.61000000000000032E1	1	2.45547477613666398E9
2.61000000000000032E1	2	4.91094955227332797E9
2.61000000000000032E1	3	7.36642432840998929E9
2.61000000000000032E1	4	9.82189910454665593E9
2.61000000000000032E1	5	1.22773738806833199E10
2.61000000000000032E1	6	1.47328486568199790E10
2.61000000000000032E1	7	1.71883234329566403E10
2.61000000000000032E1	8	1.96437982090933128E10
2.61000000000000032E1	9	2.20992729852299652E10
2.61000000000000032E1	10	2.45547477613666398E10

var_c	harmindex	freq[26, ::]
2.70999999999999996E1	0	0.00000000000000000E0
2.70999999999999996E1	1	2.45525723271204299E9
2.70999999999999996E1	2	4.91051446542408598E9
2.70999999999999996E1	3	7.36577169813612898E9
2.70999999999999996E1	4	9.82102893084817197E9
2.70999999999999996E1	5	1.22762861635602150E10
2.70999999999999996E1	6	1.47315433962722575E10
2.70999999999999996E1	7	1.71868006289843045E10
2.70999999999999996E1	8	1.96420578616963448E10
2.70999999999999996E1	9	2.20973150944083807E10
2.70999999999999996E1	10	2.45525723271204299E10

var_c	harmindex	freq[27, ::]
2.81000000000000005E1	0	0.00000000000000000E0
2.81000000000000005E1	1	2.45505504886841486E9
2.81000000000000005E1	2	4.91011009773682972E9
2.81000000000000005E1	3	7.36516514660524457E9
2.81000000000000005E1	4	9.82022019547365943E9
2.81000000000000005E1	5	1.22752752443420743E10
2.81000000000000005E1	6	1.47303302932104896E10
2.81000000000000005E1	7	1.71853853420789027E10
2.81000000000000005E1	8	1.96404403909473180E10
2.81000000000000005E1	9	2.20954954398157355E10
2.81000000000000005E1	10	2.45505504886841486E10

var_c	harmindex	freq[28, ::]
2.91000000000000014E1	0	0.00000000000000000E0
2.91000000000000014E1	1	2.45486665339022236E9
2.91000000000000014E1	2	4.90973330678044473E9
2.91000000000000014E1	3	7.36459996017066665E9
2.91000000000000014E1	4	9.81946661356088946E9
2.91000000000000014E1	5	1.22743332669511118E10
2.91000000000000014E1	6	1.47291999203413337E10
2.91000000000000014E1	7	1.71840665737315557E10
2.91000000000000014E1	8	1.96389332271217798E10
2.91000000000000014E1	9	2.20937998805120062E10
2.91000000000000014E1	10	2.45486665339022236E10

var_c	harmindex	freq[29, ::]
3.01000000000000023E1	0	0.00000000000000000E0
3.01000000000000023E1	1	2.45469068229956511E9
3.01000000000000023E1	2	4.90938136459913022E9
3.01000000000000023E1	3	7.36407204689869843E9
3.01000000000000023E1	4	9.81876272919826043E9
3.01000000000000023E1	5	1.22734534114978255E10
3.01000000000000023E1	6	1.47281440937973973E10
3.01000000000000023E1	7	1.71828347760969602E10
3.01000000000000023E1	8	1.96375254583965209E10
3.01000000000000023E1	9	2.20922161406960882E10
3.01000000000000023E1	10	2.45469068229956511E10

var_c	harmindex	freq[30, ::]
3.11000000000000032E1	0	0.00000000000000000E0
3.11000000000000032E1	1	2.45452594577932981E9
3.11000000000000032E1	2	4.90905189155865962E9
3.11000000000000032E1	3	7.36357783733798676E9
3.11000000000000032E1	4	9.81810378311731924E9
3.11000000000000032E1	5	1.22726297288966490E10
3.11000000000000032E1	6	1.47271556746759735E10
3.11000000000000032E1	7	1.71816816204553047E10
3.11000000000000032E1	8	1.96362075662346380E10
3.11000000000000032E1	9	2.20907335120139647E10
3.11000000000000032E1	10	2.45452594577932981E10

var_c	harmindex	freq[31, ::]
3.20999999999999996E1	0	0.00000000000000000E0
3.20999999999999996E1	1	2.45437140123582243E9
3.20999999999999996E1	2	4.90874280247164485E9
3.20999999999999996E1	3	7.36311420370746639E9
3.20999999999999996E1	4	9.81748560494328970E9
3.20999999999999996E1	5	1.22718570061791121E10
3.20999999999999996E1	6	1.47262284074149319E10
3.20999999999999996E1	7	1.71805998086507539E10
3.20999999999999996E1	8	1.96349712098865803E10
3.20999999999999996E1	9	2.20893426111224001E10
3.20999999999999996E1	10	2.45437140123582243E10

var_c	harmindex	freq[32, ::]
3.31000000000000005E1	0	0.00000000000000000E0
3.31000000000000005E1	1	2.45422613121094368E9
3.31000000000000005E1	2	4.90845226242188737E9
3.31000000000000005E1	3	7.36267839363283372E9
3.31000000000000005E1	4	9.81690452484377474E9
3.31000000000000005E1	5	1.22711306560547184E10
3.31000000000000005E1	6	1.47253567872656665E10
3.31000000000000005E1	7	1.71795829184766125E10
3.31000000000000005E1	8	1.96338090496875495E10
3.31000000000000005E1	9	2.20880351808984932E10
3.31000000000000005E1	10	2.45422613121094368E10

var_c	harmindex	freq[33, ::]
3.41000000000000014E1	0	0.00000000000000000E0
3.41000000000000014E1	1	2.45408932515510303E9
3.41000000000000014E1	2	4.90817865031020606E9
3.41000000000000014E1	3	7.36226797546530776E9
3.41000000000000014E1	4	9.81635730062041212E9
3.41000000000000014E1	5	1.22704466257755151E10
3.41000000000000014E1	6	1.47245359509306151E10
3.41000000000000014E1	7	1.71786252760857172E10
3.41000000000000014E1	8	1.96327146012408238E10
3.41000000000000014E1	9	2.20868039263959215E10
3.41000000000000014E1	10	2.45408932515510303E10

var_c	harmindex	freq[34, ::]
3.51000000000000023E1	0	0.00000000000000000E0
3.51000000000000023E1	1	2.45396026429592462E9
3.51000000000000023E1	2	4.90792052859184924E9
3.51000000000000023E1	3	7.36188079288777164E9
3.51000000000000023E1	4	9.81584105718369848E9
3.51000000000000023E1	5	1.22698013214796231E10
3.51000000000000023E1	6	1.47237615857755433E10
3.51000000000000023E1	7	1.71777218500714701E10
3.51000000000000023E1	8	1.96316821143673970E10
3.51000000000000023E1	9	2.20856423786633149E10
3.51000000000000023E1	10	2.45396026429592462E10

var_c	harmindex	freq[35, ::]
3.61000000000000032E1	0	0.00000000000000000E0
3.61000000000000032E1	1	2.45383830900609556E9
3.61000000000000032E1	2	4.90767661801219113E9
3.61000000000000032E1	3	7.36151492701828580E9
3.61000000000000032E1	4	9.81535323602438226E9
3.61000000000000032E1	5	1.22691915450304778E10
3.61000000000000032E1	6	1.47230298540365712E10
3.61000000000000032E1	7	1.71768681630426667E10
3.61000000000000032E1	8	1.96307064720487645E10
3.61000000000000032E1	9	2.20845447810548645E10
3.61000000000000032E1	10	2.45383830900609556E10

var_c	harmindex	freq[36, ::]
3.70999999999999996E1	0	0.00000000000000000E0
3.70999999999999996E1	1	2.45372288820172235E9
3.70999999999999996E1	2	4.90744577640344470E9
3.70999999999999996E1	3	7.36116866460516839E9
3.70999999999999996E1	4	9.81489155280688941E9
3.70999999999999996E1	5	1.22686144410086118E10
3.70999999999999996E1	6	1.47223373292103377E10
3.70999999999999996E1	7	1.71760602174120569E10
3.70999999999999996E1	8	1.96297831056137784E10
3.70999999999999996E1	9	2.20835059938154998E10
3.70999999999999996E1	10	2.45372288820172235E10

var_c	harmindex	freq[37, ::]
3.81000000000000005E1	0	0.00000000000000000E0
3.81000000000000005E1	1	2.45361349040043342E9
3.81000000000000005E1	2	4.90722698080086683E9
3.81000000000000005E1	3	7.36084047120130247E9
3.81000000000000005E1	4	9.81445396160173367E9
3.81000000000000005E1	5	1.22680674520021671E10
3.81000000000000005E1	6	1.47216809424026041E10
3.81000000000000005E1	7	1.71752944328030388E10
3.81000000000000005E1	8	1.96289079232034669E10
3.81000000000000005E1	9	2.20825214136039083E10
3.81000000000000005E1	10	2.45361349040043342E10

var_c	harmindex	freq[38, ::]
3.91000000000000014E1	0	0.00000000000000000E0
3.91000000000000014E1	1	2.45350965614361183E9
3.91000000000000014E1	2	4.90701931228722366E9
3.91000000000000014E1	3	7.36052896843083726E9
3.91000000000000014E1	4	9.81403862457444731E9
3.91000000000000014E1	5	1.22675482807180636E10
3.91000000000000014E1	6	1.47210579368616745E10
3.91000000000000014E1	7	1.71745675930052855E10
3.91000000000000014E1	8	1.96280772491488942E10
3.91000000000000014E1	9	2.20815869052925029E10
3.91000000000000014E1	10	2.45350965614361272E10

var_c	harmindex	freq[39, ::]
4.00999999999999979E1	0	0.00000000000000000E0
4.00999999999999979E1	1	2.45341097154617893E9
4.00999999999999979E1	2	4.90682194309235786E9
4.00999999999999979E1	3	7.36023291463853546E9
4.00999999999999979E1	4	9.81364388618471573E9
4.00999999999999979E1	5	1.22670548577308947E10
4.00999999999999979E1	6	1.47204658292770718E10
4.00999999999999979E1	7	1.71738768008232512E10
4.00999999999999979E1	8	1.96272877723694306E10
4.00999999999999979E1	9	2.20806987439156055E10
4.00999999999999979E1	10	2.45341097154617893E10

var_c	harmindex	freq[40, ::]
4.11000000000000032E1	0	0.00000000000000000E0
4.11000000000000032E1	1	2.45331706278277384E9
4.11000000000000032E1	2	4.90663412556554768E9
4.11000000000000032E1	3	7.35995118834831885E9
4.11000000000000032E1	4	9.81326825113109535E9
4.11000000000000032E1	5	1.22665853139138625E10
4.11000000000000032E1	6	1.47199023766966386E10
4.11000000000000032E1	7	1.71732194394794146E10
4.11000000000000032E1	8	1.96265365022621907E10
4.11000000000000032E1	9	2.20798535650449645E10
4.11000000000000032E1	10	2.45331706278277251E10

var_c	harmindex	freq[41, ::]
4.20999999999999996E1	0	0.00000000000000000E0
4.20999999999999996E1	1	2.45322759135557700E9
4.20999999999999996E1	2	4.90645518271115400E9
4.20999999999999996E1	3	7.35968277406673099E9
4.20999999999999996E1	4	9.81291036542230799E9
4.20999999999999996E1	5	1.22661379567778850E10
4.20999999999999996E1	6	1.47193655481334629E10
4.20999999999999996E1	7	1.71725931394890341E10
4.20999999999999996E1	8	1.96258207308446164E10
4.20999999999999996E1	9	2.20790483222001921E10
4.20999999999999996E1	10	2.45322759135557700E10

var_c	harmindex	freq[42, ::]
4.31000000000000050E1	0	0.00000000000000000E0
4.31000000000000050E1	1	2.45314225001744379E9
4.31000000000000050E1	2	4.90628450003488759E9
4.31000000000000050E1	3	7.35942675005233315E9
4.31000000000000050E1	4	9.81256900006977517E9
4.31000000000000050E1	5	1.22657112500872190E10
4.31000000000000050E1	6	1.47188535001046672E10
4.31000000000000050E1	7	1.71719957501221154E10
4.31000000000000050E1	8	1.96251380001395503E10
4.31000000000000050E1	9	2.20782802501569986E10
4.31000000000000050E1	10	2.45314225001744379E10

