	HB.var_c
0	1.10000000000000009E0
1	2.10000000000000009E0
2	3.10000000000000009E0
3	4.09999999999999964E0
4	5.09999999999999964E0
5	6.09999999999999964E0
6	7.09999999999999964E0
7	8.09999999999999964E0
8	9.09999999999999964E0
9	1.01000000000000001E1
10	1.10999999999999988E1
11	1.20999999999999996E1
12	1.31000000000000005E1
13	1.40999999999999992E1
14	1.51000000000000001E1
15	1.61000000000000010E1
16	1.71000000000000019E1
17	1.81000000000000005E1
18	1.91000000000000014E1
19	2.01000000000000023E1
20	2.11000000000000032E1
21	2.20999999999999996E1
22	2.21999999999999975E1


var_c	harmindex	freq[0, ::]
1.01000000000000001E1	8	1.98335007972813671E10
1.01000000000000001E1	9	2.23126883969415335E10
1.01000000000000001E1	10	2.47918759966017088E10

var_c	harmindex	freq[10, ::]
1.10999999999999988E1	0	0.00000000000000000E0
1.10999999999999988E1	1	2.47662100421189546E9
1.10999999999999988E1	2	4.95324200842379092E9
1.10999999999999988E1	3	7.42986301263568727E9
1.10999999999999988E1	4	9.90648401684758184E9
1.10999999999999988E1	5	1.23831050210594795E10
1.10999999999999988E1	6	1.48597260252713737E10
1.10999999999999988E1	7	1.73363470294832678E10
1.10999999999999988E1	8	1.98129680336951641E10
1.10999999999999988E1	9	2.22895890379070583E10
1.10999999999999988E1	10	2.47662100421189590E10

var_c	harmindex	freq[11, ::]
1.20999999999999996E1	0	0.00000000000000000E0
1.20999999999999996E1	1	2.47446322618662196E9
1.20999999999999996E1	2	4.94892645237324391E9
1.20999999999999996E1	3	7.42338967855986720E9
1.20999999999999996E1	4	9.89785290474648782E9
1.20999999999999996E1	5	1.23723161309331098E10
1.20999999999999996E1	6	1.48467793571197348E10
1.20999999999999996E1	7	1.73212425833063510E10
1.20999999999999996E1	8	1.97957058094929761E10
1.20999999999999996E1	9	2.22701690356795945E10
1.20999999999999996E1	10	2.47446322618662196E10

var_c	harmindex	freq[12, ::]
1.31000000000000005E1	0	0.00000000000000000E0
1.31000000000000005E1	1	2.47262379945303934E9
1.31000000000000005E1	2	4.94524759890607868E9
1.31000000000000005E1	3	7.41787139835912068E9
1.31000000000000005E1	4	9.89049519781215736E9
1.31000000000000005E1	5	1.23631189972651967E10
1.31000000000000005E1	6	1.48357427967182409E10
1.31000000000000005E1	7	1.73083665961712763E10
1.31000000000000005E1	8	1.97809903956243138E10
1.31000000000000005E1	9	2.22536141950773558E10
1.31000000000000005E1	10	2.47262379945303934E10

var_c	harmindex	freq[13, ::]
1.40999999999999992E1	0	0.00000000000000000E0
1.40999999999999992E1	1	2.47103711086389444E9
1.40999999999999992E1	2	4.94207422172778887E9
1.40999999999999992E1	3	7.41311133259168464E9
1.40999999999999992E1	4	9.88414844345557775E9
1.40999999999999992E1	5	1.23551855543194766E10
1.40999999999999992E1	6	1.48262226651833684E10
1.40999999999999992E1	7	1.72972597760472624E10
1.40999999999999992E1	8	1.97682968869111564E10
1.40999999999999992E1	9	2.22393339977750548E10
1.40999999999999992E1	10	2.47103711086389533E10

var_c	harmindex	freq[14, ::]
1.51000000000000001E1	0	0.00000000000000000E0
1.51000000000000001E1	1	2.46965443043608790E9
1.51000000000000001E1	2	4.93930886087217580E9
1.51000000000000001E1	3	7.40896329130826281E9
1.51000000000000001E1	4	9.87861772174435160E9
1.51000000000000001E1	5	1.23482721521804328E10
1.51000000000000001E1	6	1.48179265826165252E10
1.51000000000000001E1	7	1.72875810130526086E10
1.51000000000000001E1	8	1.97572354434887032E10
1.51000000000000001E1	9	2.22268898739247822E10
1.51000000000000001E1	10	2.46965443043608657E10

var_c	harmindex	freq[15, ::]
1.61000000000000010E1	0	0.00000000000000000E0
